med.orarie NO2 [ug/m3] staz.** FEBBIO

aaaa mm gg hh        NO2
2014 01 17 21        1.4
2014 01 17 22        1.4
2014 01 17 23        1.5
2014 01 18 00        1.4
2014 01 18 01        1.8
2014 01 18 02        3.1
2014 01 18 03        6.5
2014 01 18 04    -9999.0
2014 01 18 05        2.7
2014 01 18 06        1.9
2014 01 18 07        1.8
2014 01 18 08        3.3
2014 01 18 09        4.1
2014 01 18 10        2.4
2014 01 18 11        3.8
2014 01 18 12        3.4
2014 01 18 13        4.2
2014 01 18 14        3.1
2014 01 18 15        3.8
2014 01 18 16        6.0
2014 01 18 17        4.6
2014 01 18 18        2.4
2014 01 18 19        2.4
2014 01 18 20        1.9
2014 01 18 21        8.2
2014 01 18 22        8.1
2014 01 18 23        5.7
2014 01 19 00        4.3
2014 01 19 01        3.3
2014 01 19 02        3.0
2014 01 19 03        2.4
2014 01 19 04    -9999.0
2014 01 19 05        2.8
2014 01 19 06        2.2
2014 01 19 07        2.4
2014 01 19 08        2.7
2014 01 19 09        2.6
2014 01 19 10        3.8
2014 01 19 11        3.3
2014 01 19 12        3.6
2014 01 19 13        2.9
2014 01 19 14        4.7
2014 01 19 15        5.9
2014 01 19 16    -9999.0
2014 01 19 17    -9999.0
2014 01 19 18    -9999.0
2014 01 19 19    -9999.0
2014 01 19 20    -9999.0
2014 01 19 21    -9999.0
2014 01 19 22    -9999.0
2014 01 19 23    -9999.0
2014 01 20 00    -9999.0
2014 01 20 01    -9999.0
2014 01 20 02    -9999.0
2014 01 20 03    -9999.0
2014 01 20 04    -9999.0
2014 01 20 05    -9999.0
2014 01 20 06    -9999.0
2014 01 20 07    -9999.0
2014 01 20 08    -9999.0
2014 01 20 09    -9999.0
2014 01 20 10    -9999.0
2014 01 20 11    -9999.0
2014 01 20 12    -9999.0
2014 01 20 13    -9999.0
2014 01 20 14    -9999.0
2014 01 20 15    -9999.0
2014 01 20 16        6.4
2014 01 20 17        9.0
2014 01 20 18       10.7
2014 01 20 19       13.7
2014 01 20 20        7.4
2014 01 20 21       14.2
2014 01 20 22       13.4
2014 01 20 23       10.2
2014 01 21 00        9.4
2014 01 21 01        7.5
2014 01 21 02        3.6
2014 01 21 03        5.2
2014 01 21 04    -9999.0
2014 01 21 05        3.9
2014 01 21 06        3.5
2014 01 21 07        3.1
2014 01 21 08        2.8
2014 01 21 09        3.1
2014 01 21 10        3.2
2014 01 21 11        2.1
2014 01 21 12        2.1
2014 01 21 13        2.0
2014 01 21 14        2.0
2014 01 21 15        2.5
2014 01 21 16        3.2
2014 01 21 17        4.4
2014 01 21 18        4.5
2014 01 21 19        3.2
2014 01 21 20        3.3
2014 01 21 21        2.6
2014 01 21 22        2.3
2014 01 21 23        2.7
2014 01 22 00        2.2
2014 01 22 01        2.0
2014 01 22 02        1.9
2014 01 22 03        1.8
2014 01 22 04    -9999.0
2014 01 22 05        2.0
2014 01 22 06        1.9
2014 01 22 07        2.5
2014 01 22 08        2.2
2014 01 22 09        2.8
2014 01 22 10        3.8
2014 01 22 11        2.6
2014 01 22 12        2.2
2014 01 22 13        1.8
2014 01 22 14        3.0
2014 01 22 15        2.2
2014 01 22 16        2.1
2014 01 22 17        2.5
2014 01 22 18        3.0
2014 01 22 19        3.2
2014 01 22 20        3.1
2014 01 22 21        2.4
2014 01 22 22        2.4
2014 01 22 23        2.5
2014 01 23 00        2.7
2014 01 23 01        1.5
2014 01 23 02        1.4
2014 01 23 03        1.3
2014 01 23 04    -9999.0
2014 01 23 05        1.2
2014 01 23 06        1.1
2014 01 23 07        1.2
2014 01 23 08        2.2
2014 01 23 09        2.2
2014 01 23 10        1.9
2014 01 23 11        2.0
2014 01 23 12        1.8
2014 01 23 13        1.5
2014 01 23 14        1.6
2014 01 23 15        2.6
2014 01 23 16        3.7
2014 01 23 17        4.5
2014 01 23 18        5.1
2014 01 23 19        5.4
2014 01 23 20        4.9
2014 01 23 21        5.1
2014 01 23 22        3.7
2014 01 23 23        4.0
2014 01 24 00        4.1
2014 01 24 01        4.0
2014 01 24 02        4.0
2014 01 24 03        3.5
2014 01 24 04    -9999.0
2014 01 24 05        2.8
2014 01 24 06        2.5
2014 01 24 07        2.7
2014 01 24 08        3.4
2014 01 24 09        3.1
2014 01 24 10        3.7
2014 01 24 11        4.9
2014 01 24 12        3.4
2014 01 24 13        2.9
2014 01 24 14        4.3
2014 01 24 15       12.2
2014 01 24 16       18.1
2014 01 24 17       18.0
2014 01 24 18        9.6
2014 01 24 19        7.8
2014 01 24 20        6.3
2014 01 24 21        5.6
2014 01 24 22        5.5
2014 01 24 23        6.4
2014 01 25 00        8.4
2014 01 25 01        9.7
2014 01 25 02       11.3
2014 01 25 03       15.9
2014 01 25 04    -9999.0
2014 01 25 05        9.6
2014 01 25 06        6.1
2014 01 25 07        6.8
2014 01 25 08        8.6
2014 01 25 09       13.7
2014 01 25 10       15.9
2014 01 25 11        6.7
2014 01 25 12        5.0
2014 01 25 13        4.1
2014 01 25 14        3.9
2014 01 25 15        4.8
2014 01 25 16        9.8
2014 01 25 17        7.1
2014 01 25 18        8.4
2014 01 25 19        6.0
2014 01 25 20       11.4
2014 01 25 21        6.8
2014 01 25 22        3.3
2014 01 25 23        3.6
2014 01 26 00        4.4
2014 01 26 01        3.6
2014 01 26 02        2.2
2014 01 26 03        1.7
2014 01 26 04    -9999.0
2014 01 26 05        1.3
2014 01 26 06        1.3
2014 01 26 07        1.6
2014 01 26 08        2.4
2014 01 26 09        4.7
2014 01 26 10        4.1
2014 01 26 11        4.7
2014 01 26 12        5.5
2014 01 26 13        3.9
2014 01 26 14        3.7
2014 01 26 15        5.0
2014 01 26 16       11.6
2014 01 26 17       12.2
2014 01 26 18        8.9
2014 01 26 19        4.7
2014 01 26 20        4.4
2014 01 26 21        2.5
2014 01 26 22        2.0
2014 01 26 23        2.0
2014 01 27 00        2.2
2014 01 27 01        2.1
2014 01 27 02        2.4
2014 01 27 03        2.2
2014 01 27 04    -9999.0
2014 01 27 05        2.1
2014 01 27 06        2.6
2014 01 27 07        2.8
2014 01 27 08        3.2
2014 01 27 09        3.0
2014 01 27 10        2.8
2014 01 27 11        3.2
2014 01 27 12        4.0
2014 01 27 13        5.1
2014 01 27 14        5.5
2014 01 27 15        6.3
2014 01 27 16        9.9
2014 01 27 17       11.2
2014 01 27 18       11.5
2014 01 27 19       11.0
2014 01 27 20       14.7
2014 01 27 21       16.9
2014 01 27 22       15.0
2014 01 27 23       11.5
2014 01 28 00       12.4
2014 01 28 01       10.6
2014 01 28 02       16.1
2014 01 28 03       18.3
2014 01 28 04    -9999.0
2014 01 28 05        5.0
2014 01 28 06        5.7
2014 01 28 07        5.7
2014 01 28 08        4.9
2014 01 28 09        4.2
2014 01 28 10        5.1
2014 01 28 11        6.6
2014 01 28 12        6.7
2014 01 28 13        5.5
2014 01 28 14        5.7
2014 01 28 15        5.8
2014 01 28 16        4.9
2014 01 28 17        4.0
2014 01 28 18        3.4
2014 01 28 19        6.5
2014 01 28 20        5.8
2014 01 28 21       21.2
2014 01 28 22        3.7
2014 01 28 23        5.7
2014 01 29 00        5.0
2014 01 29 01        2.2
2014 01 29 02        1.5
2014 01 29 03        1.5
2014 01 29 04    -9999.0
2014 01 29 05        1.4
2014 01 29 06        1.4
2014 01 29 07        2.0
2014 01 29 08        3.4
2014 01 29 09        6.6
2014 01 29 10       18.9
2014 01 29 11        3.6
2014 01 29 12        2.3
2014 01 29 13        2.5
2014 01 29 14        2.6
2014 01 29 15        2.3
2014 01 29 16        3.7
2014 01 29 17        4.3
2014 01 29 18        4.4
2014 01 29 19        5.9
2014 01 29 20    -9999.0
2014 01 29 21    -9999.0
2014 01 29 22    -9999.0
2014 01 29 23    -9999.0
2014 01 30 00    -9999.0
2014 01 30 01    -9999.0
2014 01 30 02    -9999.0
2014 01 30 03    -9999.0
2014 01 30 04    -9999.0
2014 01 30 05    -9999.0
2014 01 30 06    -9999.0
2014 01 30 07    -9999.0
2014 01 30 08    -9999.0
2014 01 30 09    -9999.0
2014 01 30 10    -9999.0
2014 01 30 11    -9999.0
2014 01 30 12    -9999.0
2014 01 30 13    -9999.0
2014 01 30 14    -9999.0
2014 01 30 15    -9999.0
2014 01 30 16    -9999.0
2014 01 30 17        7.4
2014 01 30 18       11.7
2014 01 30 19        7.6
2014 01 30 20        5.1
2014 01 30 21        4.9
2014 01 30 22        4.2
2014 01 30 23        3.7
2014 01 31 00        4.0
2014 01 31 01        4.5
2014 01 31 02        3.1
2014 01 31 03        2.7
2014 01 31 04    -9999.0
2014 01 31 05        2.6
2014 01 31 06        2.8
2014 01 31 07        2.0
2014 01 31 08        1.8
2014 01 31 09        1.9
2014 01 31 10        2.6
2014 01 31 11        5.9
2014 01 31 12        4.2
2014 01 31 13        4.0
2014 01 31 14        4.1
