med.orarie NO2 [ug/m3] staz.** VILLA FULVIA

aaaa mm gg hh        NO2
2014 01 23 09       62.0
2014 01 23 10       54.0
2014 01 23 11       50.0
2014 01 23 12       40.0
2014 01 23 13       32.0
2014 01 23 14       33.0
2014 01 23 15       36.0
2014 01 23 16       44.0
2014 01 23 17       55.0
2014 01 23 18       62.0
2014 01 23 19       59.0
2014 01 23 20       60.0
2014 01 23 21       62.0
2014 01 23 22       66.0
2014 01 23 23       55.0
2014 01 24 00       52.0
2014 01 24 01       50.0
2014 01 24 02       46.0
2014 01 24 03    -9999.0
2014 01 24 04       46.0
2014 01 24 05       31.0
2014 01 24 06       38.0
2014 01 24 07       51.0
2014 01 24 08       49.0
2014 01 24 09       41.0
2014 01 24 10       36.0
2014 01 24 11       37.0
2014 01 24 12       32.0
2014 01 24 13       31.0
2014 01 24 14       27.0
2014 01 24 15       34.0
2014 01 24 16       36.0
2014 01 24 17       27.0
2014 01 24 18       17.0
2014 01 24 19       17.0
2014 01 24 20       28.0
2014 01 24 21       39.0
2014 01 24 22       34.0
2014 01 24 23       36.0
2014 01 25 00       38.0
2014 01 25 01       37.0
2014 01 25 02       41.0
2014 01 25 03    -9999.0
2014 01 25 04       50.0
2014 01 25 05       47.0
2014 01 25 06       46.0
2014 01 25 07       49.0
2014 01 25 08       56.0
2014 01 25 09       61.0
2014 01 25 10       57.0
2014 01 25 11       46.0
2014 01 25 12       36.0
2014 01 25 13       25.0
2014 01 25 14       17.0
2014 01 25 15       16.0
2014 01 25 16       22.0
2014 01 25 17       33.0
2014 01 25 18       51.0
2014 01 25 19       61.0
2014 01 25 20       61.0
2014 01 25 21       42.0
2014 01 25 22       45.0
2014 01 25 23       37.0
2014 01 26 00       43.0
2014 01 26 01       46.0
2014 01 26 02       43.0
2014 01 26 03    -9999.0
2014 01 26 04       45.0
2014 01 26 05       39.0
2014 01 26 06       25.0
2014 01 26 07       37.0
2014 01 26 08       43.0
2014 01 26 09       45.0
2014 01 26 10       50.0
2014 01 26 11       38.0
2014 01 26 12       29.0
2014 01 26 13       29.0
2014 01 26 14       27.0
2014 01 26 15       25.0
2014 01 26 16       24.0
2014 01 26 17       35.0
2014 01 26 18       50.0
2014 01 26 19       54.0
2014 01 26 20       53.0
2014 01 26 21       49.0
2014 01 26 22       51.0
2014 01 26 23       45.0
2014 01 27 00       36.0
2014 01 27 01       34.0
2014 01 27 02       25.0
2014 01 27 03    -9999.0
2014 01 27 04       20.0
2014 01 27 05       28.0
2014 01 27 06       29.0
2014 01 27 07       22.0
2014 01 27 08       25.0
2014 01 27 09       27.0
2014 01 27 10       27.0
2014 01 27 11       28.0
2014 01 27 12       31.0
2014 01 27 13       31.0
2014 01 27 14       29.0
2014 01 27 15       29.0
2014 01 27 16       31.0
2014 01 27 17       44.0
2014 01 27 18       46.0
2014 01 27 19       41.0
2014 01 27 20       27.0
2014 01 27 21       18.0
2014 01 27 22       15.0
2014 01 27 23       13.0
2014 01 28 00       10.0
2014 01 28 01       10.0
2014 01 28 02        6.0
2014 01 28 03    -9999.0
2014 01 28 04       21.0
2014 01 28 05       34.0
2014 01 28 06       39.0
2014 01 28 07       57.0
2014 01 28 08       54.0
2014 01 28 09       36.0
2014 01 28 10       30.0
2014 01 28 11       40.0
2014 01 28 12       52.0
2014 01 28 13       43.0
2014 01 28 14       32.0
2014 01 28 15       38.0
2014 01 28 16       42.0
2014 01 28 17       48.0
2014 01 28 18       52.0
2014 01 28 19       52.0
2014 01 28 20       52.0
2014 01 28 21       43.0
2014 01 28 22       40.0
2014 01 28 23       49.0
2014 01 29 00       43.0
2014 01 29 01       53.0
2014 01 29 02       61.0
2014 01 29 03    -9999.0
2014 01 29 04       68.0
2014 01 29 05       63.0
2014 01 29 06       58.0
2014 01 29 07       54.0
2014 01 29 08       56.0
2014 01 29 09       62.0
2014 01 29 10       55.0
2014 01 29 11       41.0
2014 01 29 12       25.0
2014 01 29 13       17.0
2014 01 29 14        8.0
2014 01 29 15       14.0
2014 01 29 16       13.0
2014 01 29 17       20.0
2014 01 29 18       27.0
2014 01 29 19       21.0
2014 01 29 20       26.0
2014 01 29 21       23.0
