med.orarie NO2 [ug/m3] staz.** BESENZONE

aaaa mm gg hh        NO2
2014 01 24 02    -9999.0
2014 01 24 03       31.0
2014 01 24 04       30.0
2014 01 24 05       26.0
2014 01 24 06       28.0
2014 01 24 07       27.0
2014 01 24 08       24.0
2014 01 24 09       26.0
2014 01 24 10       30.0
2014 01 24 11       34.0
2014 01 24 12       36.0
2014 01 24 13       34.0
2014 01 24 14       36.0
2014 01 24 15       37.0
2014 01 24 16       45.0
2014 01 24 17       46.0
2014 01 24 18       46.0
2014 01 24 19       45.0
2014 01 24 20       44.0
2014 01 24 21       39.0
2014 01 24 22       32.0
2014 01 24 23       28.0
2014 01 25 00       34.0
2014 01 25 01       39.0
2014 01 25 02    -9999.0
2014 01 25 03       29.0
2014 01 25 04       19.0
2014 01 25 05       16.0
2014 01 25 06       14.0
2014 01 25 07       16.0
2014 01 25 08       16.0
2014 01 25 09       17.0
2014 01 25 10       20.0
2014 01 25 11       20.0
2014 01 25 12       23.0
2014 01 25 13       17.0
2014 01 25 14       10.0
2014 01 25 15        6.0
2014 01 25 16        9.0
2014 01 25 17        9.0
2014 01 25 18       16.0
2014 01 25 19       16.0
2014 01 25 20       24.0
2014 01 25 21       29.0
2014 01 25 22       30.0
2014 01 25 23       28.0
2014 01 26 00       26.0
2014 01 26 01       23.0
2014 01 26 02    -9999.0
2014 01 26 03       19.0
2014 01 26 04       18.0
2014 01 26 05       19.0
2014 01 26 06       22.0
2014 01 26 07       27.0
2014 01 26 08       26.0
2014 01 26 09       24.0
2014 01 26 10       24.0
2014 01 26 11       26.0
2014 01 26 12       21.0
2014 01 26 13       20.0
2014 01 26 14        5.0
2014 01 26 15        1.0
2014 01 26 16        1.0
2014 01 26 17        8.0
2014 01 26 18       18.0
2014 01 26 19       26.0
2014 01 26 20       32.0
2014 01 26 21       28.0
2014 01 26 22       24.0
2014 01 26 23       20.0
2014 01 27 00       21.0
2014 01 27 01       19.0
2014 01 27 02    -9999.0
2014 01 27 03       18.0
2014 01 27 04       18.0
2014 01 27 05       21.0
2014 01 27 06       25.0
2014 01 27 07       30.0
2014 01 27 08       31.0
2014 01 27 09       32.0
2014 01 27 10       29.0
2014 01 27 11       23.0
2014 01 27 12       22.0
2014 01 27 13       19.0
2014 01 27 14       16.0
2014 01 27 15       15.0
2014 01 27 16       15.0
2014 01 27 17       16.0
2014 01 27 18       28.0
2014 01 27 19       28.0
2014 01 27 20       32.0
2014 01 27 21       29.0
2014 01 27 22       28.0
2014 01 27 23       24.0
2014 01 28 00       16.0
2014 01 28 01       12.0
2014 01 28 02    -9999.0
2014 01 28 03        9.0
2014 01 28 04        7.0
2014 01 28 05        5.0
2014 01 28 06        6.0
2014 01 28 07        9.0
2014 01 28 08        6.0
2014 01 28 09        4.0
2014 01 28 10        9.0
2014 01 28 11        9.0
2014 01 28 12       10.0
2014 01 28 13        8.0
2014 01 28 14       12.0
2014 01 28 15        9.0
2014 01 28 16        8.0
2014 01 28 17       10.0
2014 01 28 18       14.0
2014 01 28 19       28.0
2014 01 28 20       27.0
2014 01 28 21       36.0
2014 01 28 22       38.0
2014 01 28 23       36.0
2014 01 29 00       38.0
2014 01 29 01       35.0
2014 01 29 02    -9999.0
2014 01 29 03       30.0
2014 01 29 04       26.0
2014 01 29 05       23.0
2014 01 29 06       21.0
2014 01 29 07       19.0
2014 01 29 08       20.0
2014 01 29 09       20.0
2014 01 29 10       26.0
2014 01 29 11       33.0
2014 01 29 12       34.0
2014 01 29 13       33.0
2014 01 29 14       38.0
2014 01 29 15       43.0
2014 01 29 16       44.0
2014 01 29 17       41.0
2014 01 29 18       41.0
2014 01 29 19       41.0
2014 01 29 20       37.0
2014 01 29 21       29.0
2014 01 29 22       24.0
2014 01 29 23       16.0
2014 01 30 00        7.0
2014 01 30 01        7.0
2014 01 30 02    -9999.0
2014 01 30 03        5.0
2014 01 30 04        5.0
2014 01 30 05        5.0
2014 01 30 06        5.0
2014 01 30 07        6.0
2014 01 30 08        8.0
2014 01 30 09       10.0
2014 01 30 10       16.0
2014 01 30 11       22.0
2014 01 30 12       16.0
2014 01 30 13       15.0
2014 01 30 14       23.0
2014 01 30 15       30.0
2014 01 30 16       33.0
2014 01 30 17       30.0
2014 01 30 18       37.0
2014 01 30 19       44.0
2014 01 30 20       58.0
2014 01 30 21       53.0
2014 01 30 22       52.0
2014 01 30 23       56.0
2014 01 31 00       57.0
2014 01 31 01       55.0
2014 01 31 02    -9999.0
2014 01 31 03       51.0
2014 01 31 04       48.0
2014 01 31 05       34.0
2014 01 31 06       28.0
2014 01 31 07       29.0
2014 01 31 08       33.0
2014 01 31 09       31.0
2014 01 31 10       37.0
2014 01 31 11       28.0
2014 01 31 12       21.0
2014 01 31 13       14.0
2014 01 31 14       16.0
2014 01 31 15       20.0
2014 01 31 16       21.0
2014 01 31 17       35.0
2014 01 31 18       20.0
2014 01 31 19       15.0
2014 01 31 20       23.0
