med.orarie NO2 [ug/m3] staz.** BALLIRANA

aaaa mm gg hh        NO2
2014 02 02 04       25.0
2014 02 02 05       28.0
2014 02 02 06       26.0
2014 02 02 07       24.0
2014 02 02 08       25.0
2014 02 02 09       22.0
2014 02 02 10       20.0
2014 02 02 11       23.0
2014 02 02 12       19.0
2014 02 02 13       18.0
2014 02 02 14       19.0
2014 02 02 15       20.0
2014 02 02 16       19.0
2014 02 02 17        9.0
2014 02 02 18        9.0
2014 02 02 19       12.0
2014 02 02 20       16.0
2014 02 02 21       15.0
2014 02 02 22       23.0
2014 02 02 23       26.0
2014 02 03 00       26.0
2014 02 03 01       27.0
2014 02 03 02       23.0
2014 02 03 03       22.0
2014 02 03 04       23.0
2014 02 03 05       20.0
2014 02 03 06       18.0
2014 02 03 07       15.0
2014 02 03 08       15.0
2014 02 03 09       18.0
2014 02 03 10       16.0
2014 02 03 11       18.0
2014 02 03 12       17.0
2014 02 03 13       20.0
2014 02 03 14       23.0
2014 02 03 15       29.0
2014 02 03 16       27.0
2014 02 03 17       27.0
2014 02 03 18       29.0
2014 02 03 19       28.0
2014 02 03 20       26.0
2014 02 03 21       20.0
2014 02 03 22       13.0
2014 02 03 23       19.0
2014 02 04 00       18.0
2014 02 04 01       13.0
2014 02 04 02       10.0
2014 02 04 03       11.0
2014 02 04 04        9.0
2014 02 04 05        9.0
2014 02 04 06       10.0
2014 02 04 07       10.0
2014 02 04 08       11.0
2014 02 04 09        9.0
2014 02 04 10       10.0
2014 02 04 11        9.0
2014 02 04 12       11.0
2014 02 04 13       15.0
2014 02 04 14       16.0
2014 02 04 15       18.0
2014 02 04 16       22.0
2014 02 04 17       24.0
2014 02 04 18       18.0
2014 02 04 19       17.0
2014 02 04 20       20.0
2014 02 04 21       24.0
2014 02 04 22       26.0
2014 02 04 23       23.0
2014 02 05 00       20.0
2014 02 05 01       17.0
2014 02 05 02       17.0
2014 02 05 03       17.0
2014 02 05 04       15.0
2014 02 05 05       15.0
2014 02 05 06       18.0
2014 02 05 07       26.0
2014 02 05 08       32.0
2014 02 05 09       31.0
2014 02 05 10       28.0
2014 02 05 11       24.0
2014 02 05 12       25.0
2014 02 05 13       27.0
2014 02 05 14       30.0
2014 02 05 15       29.0
2014 02 05 16       28.0
2014 02 05 17       27.0
2014 02 05 18       23.0
2014 02 05 19       25.0
2014 02 05 20       36.0
2014 02 05 21       25.0
2014 02 05 22       16.0
2014 02 05 23       14.0
2014 02 06 00       11.0
2014 02 06 01        7.0
2014 02 06 02        6.0
2014 02 06 03        7.0
2014 02 06 04        7.0
