med.orarie NO2 [ug/m3] staz.** SAN PIETRO CAPOFIUME

aaaa mm gg hh        NO2
2014 01 22 07       19.0
2014 01 22 08       19.0
2014 01 22 09       22.0
2014 01 22 10       25.0
2014 01 22 11       29.0
2014 01 22 12       27.0
2014 01 22 13       20.0
2014 01 22 14       19.0
2014 01 22 15       20.0
2014 01 22 16       29.0
2014 01 22 17       30.0
2014 01 22 18       33.0
2014 01 22 19       33.0
2014 01 22 20       30.0
2014 01 22 21       31.0
2014 01 22 22       31.0
2014 01 22 23       29.0
2014 01 23 00       28.0
2014 01 23 01       25.0
2014 01 23 02    -9999.0
2014 01 23 03       34.0
2014 01 23 04       30.0
2014 01 23 05       32.0
2014 01 23 06       33.0
2014 01 23 07       29.0
2014 01 23 08       27.0
2014 01 23 09       23.0
2014 01 23 10       27.0
2014 01 23 11       33.0
2014 01 23 12       32.0
2014 01 23 13       28.0
2014 01 23 14       20.0
2014 01 23 15       18.0
2014 01 23 16       19.0
2014 01 23 17       20.0
2014 01 23 18       21.0
2014 01 23 19       29.0
2014 01 23 20       35.0
2014 01 23 21       40.0
2014 01 23 22       29.0
2014 01 23 23       28.0
2014 01 24 00       29.0
2014 01 24 01       21.0
2014 01 24 02    -9999.0
2014 01 24 03       25.0
2014 01 24 04       38.0
2014 01 24 05       37.0
2014 01 24 06       34.0
2014 01 24 07       29.0
2014 01 24 08       25.0
2014 01 24 09       32.0
2014 01 24 10       28.0
2014 01 24 11       26.0
2014 01 24 12       20.0
2014 01 24 13       21.0
2014 01 24 14       16.0
2014 01 24 15       18.0
2014 01 24 16       22.0
2014 01 24 17       22.0
2014 01 24 18        8.0
2014 01 24 19        7.0
2014 01 24 20        6.0
2014 01 24 21       12.0
2014 01 24 22       15.0
2014 01 24 23       14.0
2014 01 25 00       18.0
2014 01 25 01       19.0
2014 01 25 02    -9999.0
2014 01 25 03       23.0
2014 01 25 04       21.0
2014 01 25 05       20.0
2014 01 25 06       20.0
2014 01 25 07       21.0
2014 01 25 08       31.0
2014 01 25 09       28.0
2014 01 25 10       20.0
2014 01 25 11       17.0
2014 01 25 12       13.0
2014 01 25 13       12.0
2014 01 25 14        8.0
2014 01 25 15        8.0
2014 01 25 16       12.0
2014 01 25 17       15.0
2014 01 25 18       21.0
2014 01 25 19       32.0
2014 01 25 20       20.0
2014 01 25 21       20.0
2014 01 25 22       27.0
2014 01 25 23       29.0
2014 01 26 00       22.0
2014 01 26 01       21.0
2014 01 26 02    -9999.0
2014 01 26 03       19.0
2014 01 26 04       23.0
2014 01 26 05       22.0
2014 01 26 06       25.0
2014 01 26 07       21.0
2014 01 26 08       20.0
2014 01 26 09       19.0
2014 01 26 10       19.0
2014 01 26 11       19.0
2014 01 26 12       21.0
2014 01 26 13       19.0
2014 01 26 14       16.0
2014 01 26 15       17.0
2014 01 26 16       17.0
2014 01 26 17       19.0
2014 01 26 18       22.0
2014 01 26 19       30.0
2014 01 26 20       26.0
2014 01 26 21       24.0
2014 01 26 22       25.0
2014 01 26 23       32.0
2014 01 27 00       30.0
2014 01 27 01       26.0
2014 01 27 02    -9999.0
2014 01 27 03       29.0
2014 01 27 04       26.0
2014 01 27 05       24.0
2014 01 27 06       16.0
2014 01 27 07       16.0
2014 01 27 08       16.0
2014 01 27 09       18.0
2014 01 27 10       16.0
2014 01 27 11       15.0
2014 01 27 12       15.0
2014 01 27 13       18.0
2014 01 27 14       25.0
2014 01 27 15       27.0
2014 01 27 16       30.0
2014 01 27 17       21.0
2014 01 27 18       13.0
2014 01 27 19       14.0
2014 01 27 20       28.0
2014 01 27 21       27.0
2014 01 27 22       11.0
2014 01 27 23        8.0
2014 01 28 00        9.0
2014 01 28 01        8.0
2014 01 28 02    -9999.0
2014 01 28 03        4.0
2014 01 28 04        7.0
2014 01 28 05        6.0
2014 01 28 06        8.0
2014 01 28 07        9.0
2014 01 28 08       10.0
2014 01 28 09       16.0
2014 01 28 10       21.0
2014 01 28 11       23.0
2014 01 28 12       22.0
2014 01 28 13       19.0
2014 01 28 14       26.0
2014 01 28 15       37.0
2014 01 28 16       26.0
2014 01 28 17       35.0
2014 01 28 18       39.0
2014 01 28 19       42.0
2014 01 28 20       47.0
2014 01 28 21       43.0
2014 01 28 22       42.0
2014 01 28 23       30.0
2014 01 29 00       33.0
2014 01 29 01       43.0
2014 01 29 02    -9999.0
2014 01 29 03       37.0
2014 01 29 04       37.0
2014 01 29 05       40.0
2014 01 29 06       37.0
2014 01 29 07       35.0
2014 01 29 08       40.0
2014 01 29 09       30.0
2014 01 29 10       22.0
2014 01 29 11       16.0
2014 01 29 12       15.0
2014 01 29 13       11.0
2014 01 29 14        8.0
2014 01 29 15       16.0
2014 01 29 16        8.0
2014 01 29 17       10.0
2014 01 29 18       12.0
2014 01 29 19       14.0
2014 01 29 20       12.0
2014 01 29 21        8.0
2014 01 29 22        7.0
2014 01 29 23        7.0
2014 01 30 00        7.0
2014 01 30 01        5.0
2014 01 30 02    -9999.0
2014 01 30 03       10.0
2014 01 30 04       11.0
2014 01 30 05        6.0
2014 01 30 06        5.0
2014 01 30 07        6.0
2014 01 30 08        5.0
2014 01 30 09        6.0
2014 01 30 10        9.0
2014 01 30 11       13.0
2014 01 30 12       16.0
2014 01 30 13       21.0
2014 01 30 14       30.0
2014 01 30 15       31.0
2014 01 30 16       29.0
2014 01 30 17       35.0
2014 01 30 18       40.0
2014 01 30 19       41.0
2014 01 30 20       41.0
2014 01 30 21       37.0
2014 01 30 22       31.0
2014 01 30 23       21.0
2014 01 31 00       27.0
2014 01 31 01       44.0
2014 01 31 02    -9999.0
2014 01 31 03       42.0
2014 01 31 04       44.0
2014 01 31 05       44.0
2014 01 31 06       44.0
2014 01 31 07       43.0
2014 01 31 08       41.0
2014 01 31 09       35.0
2014 01 31 10       30.0
2014 01 31 11       28.0
2014 01 31 12       28.0
2014 01 31 13       28.0
2014 01 31 14       25.0
2014 01 31 15       26.0
2014 01 31 16       29.0
2014 01 31 17       31.0
2014 01 31 18       34.0
2014 01 31 19       36.0
2014 01 31 20       35.0
2014 01 31 21       39.0
2014 01 31 22       40.0
2014 01 31 23       40.0
2014 02 01 00       34.0
2014 02 01 01       20.0
2014 02 01 02    -9999.0
2014 02 01 03       24.0
2014 02 01 04       16.0
2014 02 01 05       15.0
2014 02 01 06       16.0
2014 02 01 07       15.0
2014 02 01 08       16.0
2014 02 01 09       19.0
2014 02 01 10       20.0
2014 02 01 11       25.0
2014 02 01 12       28.0
2014 02 01 13       27.0
2014 02 01 14       29.0
2014 02 01 15       30.0
2014 02 01 16       30.0
2014 02 01 17       31.0
2014 02 01 18       32.0
2014 02 01 19       34.0
2014 02 01 20       27.0
2014 02 01 21       24.0
2014 02 01 22       23.0
2014 02 01 23       23.0
2014 02 02 00       22.0
2014 02 02 01       21.0
2014 02 02 02    -9999.0
2014 02 02 03       22.0
2014 02 02 04       27.0
2014 02 02 05       27.0
2014 02 02 06       32.0
2014 02 02 07       30.0
2014 02 02 08       30.0
2014 02 02 09       26.0
2014 02 02 10       21.0
2014 02 02 11       18.0
2014 02 02 12       20.0
2014 02 02 13       20.0
2014 02 02 14       19.0
2014 02 02 15       19.0
2014 02 02 16       20.0
2014 02 02 17       13.0
2014 02 02 18       16.0
2014 02 02 19       16.0
2014 02 02 20       26.0
2014 02 02 21       25.0
2014 02 02 22       26.0
2014 02 02 23       22.0
