med.orarie NO2 [ug/m3] staz.** PARCO RESISTENZA

aaaa mm gg hh        NO2
2014 01 27 09       42.0
2014 01 27 10       36.0
2014 01 27 11       37.0
2014 01 27 12       39.0
2014 01 27 13       35.0
2014 01 27 14       36.0
2014 01 27 15       33.0
2014 01 27 16       30.0
2014 01 27 17       29.0
2014 01 27 18       31.0
2014 01 27 19       31.0
2014 01 27 20       30.0
2014 01 27 21       27.0
2014 01 27 22       19.0
2014 01 27 23       15.0
2014 01 28 00       17.0
2014 01 28 01       19.0
2014 01 28 02       18.0
2014 01 28 03       15.0
2014 01 28 04    -9999.0
2014 01 28 05        8.0
2014 01 28 06       11.0
2014 01 28 07       14.0
2014 01 28 08       21.0
2014 01 28 09       30.0
2014 01 28 10       32.0
2014 01 28 11       23.0
2014 01 28 12       23.0
2014 01 28 13       22.0
2014 01 28 14       23.0
2014 01 28 15       27.0
2014 01 28 16       34.0
2014 01 28 17       31.0
2014 01 28 18       28.0
2014 01 28 19       32.0
2014 01 28 20       35.0
2014 01 28 21       41.0
2014 01 28 22       35.0
2014 01 28 23       22.0
2014 01 29 00       17.0
2014 01 29 01       17.0
2014 01 29 02       14.0
2014 01 29 03       14.0
2014 01 29 04    -9999.0
2014 01 29 05       12.0
2014 01 29 06       18.0
2014 01 29 07       23.0
2014 01 29 08       27.0
2014 01 29 09       42.0
2014 01 29 10       34.0
2014 01 29 11       24.0
2014 01 29 12       14.0
2014 01 29 13       12.0
2014 01 29 14       14.0
2014 01 29 15       15.0
2014 01 29 16       14.0
2014 01 29 17       17.0
2014 01 29 18       21.0
2014 01 29 19       30.0
2014 01 29 20       32.0
2014 01 29 21       33.0
2014 01 29 22       28.0
2014 01 29 23       19.0
2014 01 30 00       20.0
2014 01 30 01       18.0
2014 01 30 02       11.0
2014 01 30 03        8.0
2014 01 30 04    -9999.0
2014 01 30 05       12.0
2014 01 30 06       13.0
2014 01 30 07       18.0
2014 01 30 08       24.0
2014 01 30 09       27.0
2014 01 30 10       20.0
2014 01 30 11       16.0
2014 01 30 12       14.0
2014 01 30 13       19.0
2014 01 30 14       29.0
2014 01 30 15       32.0
2014 01 30 16       30.0
2014 01 30 17       31.0
2014 01 30 18       33.0
2014 01 30 19       35.0
2014 01 30 20       35.0
2014 01 30 21       37.0
2014 01 30 22       37.0
2014 01 30 23       32.0
2014 01 31 00       26.0
2014 01 31 01       28.0
2014 01 31 02       29.0
2014 01 31 03       32.0
2014 01 31 04    -9999.0
2014 01 31 05       31.0
2014 01 31 06       30.0
2014 01 31 07       27.0
2014 01 31 08       27.0
2014 01 31 09       29.0
2014 01 31 10       29.0
