med.orarie NO2 [ug/m3] staz.** S. LAZZARO

aaaa mm gg hh        NO2
2014 01 27 09       31.9
2014 01 27 10       33.8
2014 01 27 11       33.4
2014 01 27 12       31.3
2014 01 27 13       33.5
2014 01 27 14       32.4
2014 01 27 15       36.0
2014 01 27 16       37.9
2014 01 27 17       37.9
2014 01 27 18       39.4
2014 01 27 19       39.9
2014 01 27 20       40.7
2014 01 27 21       41.8
2014 01 27 22       39.7
2014 01 27 23       24.6
2014 01 28 00       15.5
2014 01 28 01       14.3
2014 01 28 02        9.4
2014 01 28 03        8.9
2014 01 28 04        9.0
2014 01 28 05       14.0
2014 01 28 06       22.9
2014 01 28 07       22.4
2014 01 28 08       33.5
2014 01 28 09       48.1
2014 01 28 10       57.3
2014 01 28 11       49.0
2014 01 28 12       45.2
2014 01 28 13       32.9
2014 01 28 14       25.4
2014 01 28 15       24.4
2014 01 28 16       26.8
2014 01 28 17       33.0
2014 01 28 18       33.1
2014 01 28 19       45.8
2014 01 28 20       48.2
2014 01 28 21       43.3
2014 01 28 22       42.7
2014 01 28 23       39.3
2014 01 29 00       37.9
2014 01 29 01       36.1
2014 01 29 02       25.9
2014 01 29 03       20.5
2014 01 29 04       18.2
2014 01 29 05       22.3
2014 01 29 06       25.4
2014 01 29 07       29.7
2014 01 29 08       38.8
2014 01 29 09       43.3
2014 01 29 10       43.5
2014 01 29 11       38.6
2014 01 29 12       29.1
2014 01 29 13       32.4
2014 01 29 14       33.8
2014 01 29 15       26.9
2014 01 29 16       27.7
2014 01 29 17       40.0
2014 01 29 18       48.3
2014 01 29 19       31.5
2014 01 29 20       21.3
2014 01 29 21       25.7
2014 01 29 22       22.5
2014 01 29 23       27.8
2014 01 30 00       30.2
2014 01 30 01       26.1
2014 01 30 02       20.3
2014 01 30 03       17.2
2014 01 30 04       13.8
2014 01 30 05       13.2
2014 01 30 06       14.9
2014 01 30 07       18.5
2014 01 30 08       18.5
2014 01 30 09       29.7
2014 01 30 10       28.1
2014 01 30 11       32.8
2014 01 30 12       36.7
2014 01 30 13       48.4
2014 01 30 14       47.8
2014 01 30 15       44.8
2014 01 30 16       52.0
2014 01 30 17       51.1
2014 01 30 18       49.0
2014 01 30 19       46.5
2014 01 30 20       47.8
2014 01 30 21       47.7
2014 01 30 22       45.6
2014 01 30 23       46.1
2014 01 31 00       46.3
2014 01 31 01       42.4
2014 01 31 02       42.4
2014 01 31 03       42.4
2014 01 31 04       38.3
2014 01 31 05       33.8
2014 01 31 06       27.8
2014 01 31 07       30.4
2014 01 31 08       32.2
2014 01 31 09       36.0
2014 01 31 10       37.0
2014 01 31 11       30.7
2014 01 31 12       33.3
2014 01 31 13       37.0
