med.orarie NO2 [ug/m3] staz.** PARCO EDILCARANI

aaaa mm gg hh        NO2
2014 02 09 17       17.0
2014 02 09 18       14.0
2014 02 09 19       20.0
2014 02 09 20       32.0
2014 02 09 21       28.0
2014 02 09 22       21.0
2014 02 09 23       16.0
2014 02 10 00       18.0
2014 02 10 01       14.0
2014 02 10 02       15.0
2014 02 10 03       20.0
2014 02 10 04       23.0
2014 02 10 05       36.0
2014 02 10 06       47.0
2014 02 10 07       49.0
2014 02 10 08       48.0
2014 02 10 09       52.0
2014 02 10 10       54.0
2014 02 10 11       58.0
2014 02 10 12       60.0
2014 02 10 13       50.0
2014 02 10 14       46.0
2014 02 10 15       46.0
2014 02 10 16       40.0
2014 02 10 17       40.0
2014 02 10 18       51.0
2014 02 10 19       56.0
2014 02 10 20       58.0
2014 02 10 21       56.0
2014 02 10 22       38.0
2014 02 10 23       25.0
2014 02 11 00       19.0
2014 02 11 01       13.0
2014 02 11 02       13.0
2014 02 11 03       18.0
2014 02 11 04       14.0
2014 02 11 05       12.0
2014 02 11 06       13.0
2014 02 11 07       20.0
2014 02 11 08       29.0
2014 02 11 09       37.0
2014 02 11 10       43.0
2014 02 11 11       31.0
2014 02 11 12       21.0
2014 02 11 13       25.0
2014 02 11 14       20.0
2014 02 11 15       24.0
2014 02 11 16       30.0
2014 02 11 17       33.0
2014 02 11 18       39.0
2014 02 11 19       47.0
2014 02 11 20       58.0
2014 02 11 21       53.0
2014 02 11 22       39.0
2014 02 11 23       31.0
2014 02 12 00       30.0
2014 02 12 01       31.0
2014 02 12 02       21.0
2014 02 12 03       19.0
2014 02 12 04       16.0
2014 02 12 05       11.0
2014 02 12 06       14.0
2014 02 12 07       21.0
2014 02 12 08       24.0
2014 02 12 09       28.0
2014 02 12 10       19.0
2014 02 12 11       20.0
2014 02 12 12       13.0
2014 02 12 13       16.0
2014 02 12 14       15.0
2014 02 12 15       15.0
2014 02 12 16       16.0
2014 02 12 17       20.0
2014 02 12 18       35.0
2014 02 12 19       73.0
2014 02 12 20       77.0
2014 02 12 21       50.0
2014 02 12 22       30.0
2014 02 12 23       23.0
2014 02 13 00       17.0
2014 02 13 01       16.0
2014 02 13 02       15.0
2014 02 13 03       13.0
2014 02 13 04       13.0
2014 02 13 05       11.0
2014 02 13 06       14.0
2014 02 13 07       19.0
2014 02 13 08       25.0
2014 02 13 09       40.0
2014 02 13 10       32.0
2014 02 13 11       22.0
2014 02 13 12       43.0
2014 02 13 13       49.0
2014 02 13 14       56.0
2014 02 13 15       53.0
2014 02 13 16       47.0
2014 02 13 17       51.0
2014 02 13 18       55.0
2014 02 13 19       54.0
2014 02 13 20       57.0
2014 02 13 21       58.0
2014 02 13 22       52.0
2014 02 13 23       48.0
2014 02 14 00       43.0
2014 02 14 01       35.0
2014 02 14 02       29.0
2014 02 14 03       26.0
2014 02 14 04       26.0
2014 02 14 05       24.0
