med.orarie NO2 [ug/m3] staz.** OSTELLATO

aaaa mm gg hh        NO2
2014 01 31 03    -9999.0
2014 01 31 04       30.0
2014 01 31 05       44.0
2014 01 31 06       49.0
2014 01 31 07       52.0
2014 01 31 08       51.0
2014 01 31 09       47.0
2014 01 31 10       43.0
2014 01 31 11       40.0
2014 01 31 12       38.0
2014 01 31 13       37.0
2014 01 31 14       39.0
2014 01 31 15       38.0
2014 01 31 16       35.0
2014 01 31 17       40.0
2014 01 31 18       41.0
2014 01 31 19       41.0
2014 01 31 20       41.0
2014 01 31 21       43.0
2014 01 31 22       43.0
2014 01 31 23       42.0
2014 02 01 00       39.0
2014 02 01 01       35.0
2014 02 01 02       26.0
2014 02 01 03    -9999.0
2014 02 01 04       21.0
2014 02 01 05       20.0
2014 02 01 06       18.0
2014 02 01 07       16.0
2014 02 01 08       17.0
2014 02 01 09       21.0
2014 02 01 10       22.0
2014 02 01 11       23.0
2014 02 01 12       26.0
2014 02 01 13       25.0
2014 02 01 14       26.0
2014 02 01 15       27.0
2014 02 01 16       26.0
2014 02 01 17       27.0
2014 02 01 18       31.0
2014 02 01 19       30.0
2014 02 01 20       32.0
2014 02 01 21       27.0
2014 02 01 22       23.0
2014 02 01 23       20.0
2014 02 02 00       16.0
2014 02 02 01       14.0
2014 02 02 02       15.0
2014 02 02 03    -9999.0
2014 02 02 04       24.0
2014 02 02 05       21.0
2014 02 02 06       19.0
2014 02 02 07       21.0
2014 02 02 08       24.0
2014 02 02 09       22.0
2014 02 02 10       22.0
2014 02 02 11       20.0
2014 02 02 12       16.0
2014 02 02 13       14.0
2014 02 02 14       11.0
2014 02 02 15       11.0
2014 02 02 16       12.0
2014 02 02 17       13.0
2014 02 02 18       13.0
2014 02 02 19       13.0
2014 02 02 20       17.0
2014 02 02 21       18.0
2014 02 02 22       17.0
2014 02 02 23       18.0
2014 02 03 00       18.0
2014 02 03 01       20.0
2014 02 03 02       20.0
2014 02 03 03    -9999.0
2014 02 03 04       18.0
2014 02 03 05       19.0
2014 02 03 06       20.0
2014 02 03 07       19.0
2014 02 03 08        8.0
2014 02 03 09        9.0
2014 02 03 10        9.0
2014 02 03 11        9.0
2014 02 03 12    -9999.0
2014 02 03 13    -9999.0
2014 02 03 14        8.0
2014 02 03 15       10.0
2014 02 03 16       12.0
2014 02 03 17       11.0
2014 02 03 18       11.0
2014 02 03 19       12.0
2014 02 03 20       11.0
2014 02 03 21        9.0
2014 02 03 22        8.0
2014 02 03 23        5.0
2014 02 04 00        6.0
2014 02 04 01        4.0
2014 02 04 02        6.0
2014 02 04 03    -9999.0
2014 02 04 04        7.0
2014 02 04 05        8.0
2014 02 04 06        9.0
2014 02 04 07       10.0
2014 02 04 08       13.0
2014 02 04 09       15.0
2014 02 04 10       15.0
2014 02 04 11       14.0
2014 02 04 12       13.0
2014 02 04 13       12.0
2014 02 04 14       13.0
2014 02 04 15       14.0
2014 02 04 16       16.0
2014 02 04 17       16.0
2014 02 04 18       17.0
2014 02 04 19       18.0
2014 02 04 20       21.0
2014 02 04 21       23.0
2014 02 04 22       24.0
2014 02 04 23       24.0
2014 02 05 00       25.0
2014 02 05 01       26.0
2014 02 05 02       24.0
2014 02 05 03    -9999.0
2014 02 05 04       22.0
2014 02 05 05       19.0
2014 02 05 06       18.0
2014 02 05 07       18.0
2014 02 05 08       16.0
2014 02 05 09       16.0
2014 02 05 10       23.0
2014 02 05 11       29.0
2014 02 05 12       29.0
2014 02 05 13       29.0
2014 02 05 14       27.0
2014 02 05 15       28.0
2014 02 05 16       30.0
2014 02 05 17       30.0
2014 02 05 18       29.0
2014 02 05 19       27.0
2014 02 05 20       22.0
2014 02 05 21       19.0
2014 02 05 22       16.0
2014 02 05 23       13.0
2014 02 06 00       10.0
2014 02 06 01       10.0
2014 02 06 02       10.0
2014 02 06 03    -9999.0
2014 02 06 04        5.0
2014 02 06 05        7.0
2014 02 06 06       13.0
2014 02 06 07       11.0
