med.orarie NO2 [ug/m3] staz.** SAN CLEMENTE

aaaa mm gg hh        NO2
2014 02 12 02        6.0
2014 02 12 03        6.0
2014 02 12 04        7.0
2014 02 12 05        5.0
2014 02 12 06        4.0
2014 02 12 07        4.0
2014 02 12 08        4.0
2014 02 12 09        6.0
2014 02 12 10        5.0
2014 02 12 11        2.0
2014 02 12 12        3.0
2014 02 12 13        5.0
2014 02 12 14        6.0
2014 02 12 15        7.0
2014 02 12 16       13.0
2014 02 12 17       14.0
2014 02 12 18       22.0
2014 02 12 19       28.0
2014 02 12 20       20.0
2014 02 12 21       15.0
2014 02 12 22       11.0
2014 02 12 23       10.0
2014 02 13 00        8.0
2014 02 13 01        7.0
2014 02 13 02        5.0
2014 02 13 03        3.0
2014 02 13 04        3.0
2014 02 13 05        3.0
2014 02 13 06        3.0
2014 02 13 07        4.0
2014 02 13 08        7.0
2014 02 13 09        7.0
2014 02 13 10        4.0
2014 02 13 11        3.0
2014 02 13 12        3.0
2014 02 13 13        2.0
2014 02 13 14        2.0
2014 02 13 15        2.0
2014 02 13 16        5.0
2014 02 13 17        4.0
2014 02 13 18        3.0
2014 02 13 19        2.0
2014 02 13 20        1.0
2014 02 13 21        2.0
2014 02 13 22        2.0
2014 02 13 23        1.0
2014 02 14 00        0.0
2014 02 14 01        0.0
2014 02 14 02        1.0
2014 02 14 03        2.0
2014 02 14 04        7.0
2014 02 14 05       10.0
2014 02 14 06        9.0
