med.orarie NO2 [ug/m3] staz.** DELTA CERVIA

aaaa mm gg hh        NO2
2014 01 26 02    -9999.0
2014 01 26 03       23.0
2014 01 26 04       27.0
2014 01 26 05       19.0
2014 01 26 06       15.0
2014 01 26 07       17.0
2014 01 26 08       13.0
2014 01 26 09       13.0
2014 01 26 10       15.0
2014 01 26 11       15.0
2014 01 26 12       15.0
2014 01 26 13       19.0
2014 01 26 14       19.0
2014 01 26 15       19.0
2014 01 26 16       21.0
2014 01 26 17       23.0
2014 01 26 18       23.0
2014 01 26 19       27.0
2014 01 26 20       27.0
2014 01 26 21       36.0
2014 01 26 22       48.0
2014 01 26 23       42.0
2014 01 27 00       40.0
2014 01 27 01       38.0
2014 01 27 02    -9999.0
2014 01 27 03       33.0
2014 01 27 04       27.0
2014 01 27 05       19.0
2014 01 27 06       13.0
2014 01 27 07       15.0
2014 01 27 08       11.0
2014 01 27 09       21.0
2014 01 27 10       38.0
2014 01 27 11       52.0
2014 01 27 12       54.0
2014 01 27 13       38.0
2014 01 27 14       15.0
2014 01 27 15       21.0
2014 01 27 16       27.0
2014 01 27 17       48.0
2014 01 27 18       44.0
2014 01 27 19       40.0
2014 01 27 20       42.0
2014 01 27 21       42.0
2014 01 27 22       44.0
2014 01 27 23       42.0
2014 01 28 00       21.0
2014 01 28 01       19.0
2014 01 28 02    -9999.0
2014 01 28 03        2.0
2014 01 28 04        2.0
2014 01 28 05        6.0
2014 01 28 06        6.0
2014 01 28 07        8.0
2014 01 28 08       13.0
2014 01 28 09       17.0
2014 01 28 10       15.0
2014 01 28 11       23.0
2014 01 28 12       31.0
2014 01 28 13       38.0
2014 01 28 14       42.0
2014 01 28 15       46.0
2014 01 28 16       38.0
2014 01 28 17       31.0
2014 01 28 18       25.0
2014 01 28 19       33.0
2014 01 28 20       31.0
2014 01 28 21       31.0
2014 01 28 22       25.0
2014 01 28 23       25.0
2014 01 29 00       27.0
2014 01 29 01       25.0
2014 01 29 02    -9999.0
2014 01 29 03       23.0
2014 01 29 04       21.0
2014 01 29 05       19.0
2014 01 29 06       19.0
2014 01 29 07       17.0
2014 01 29 08       19.0
2014 01 29 09       15.0
2014 01 29 10       31.0
2014 01 29 11       34.0
2014 01 29 12       23.0
2014 01 29 13       11.0
2014 01 29 14        6.0
2014 01 29 15        4.0
2014 01 29 16        4.0
2014 01 29 17        6.0
2014 01 29 18        6.0
2014 01 29 19        6.0
2014 01 29 20        8.0
2014 01 29 21       10.0
2014 01 29 22       10.0
2014 01 29 23       10.0
2014 01 30 00       10.0
2014 01 30 01       10.0
2014 01 30 02    -9999.0
2014 01 30 03       11.0
2014 01 30 04       29.0
2014 01 30 05       36.0
2014 01 30 06       31.0
2014 01 30 07       25.0
2014 01 30 08       25.0
2014 01 30 09       29.0
2014 01 30 10       29.0
2014 01 30 11       27.0
2014 01 30 12       25.0
2014 01 30 13       31.0
2014 01 30 14       27.0
2014 01 30 15       34.0
2014 01 30 16       17.0
2014 01 30 17       17.0
2014 01 30 18       15.0
2014 01 30 19       17.0
2014 01 30 20       27.0
2014 01 30 21       40.0
2014 01 30 22       46.0
2014 01 30 23       27.0
2014 01 31 00       25.0
2014 01 31 01       21.0
2014 01 31 02    -9999.0
2014 01 31 03       27.0
2014 01 31 04       54.0
2014 01 31 05       50.0
2014 01 31 06       13.0
2014 01 31 07       29.0
2014 01 31 08       48.0
2014 01 31 09       42.0
2014 01 31 10       42.0
2014 01 31 11       40.0
2014 01 31 12       40.0
2014 01 31 13       38.0
2014 01 31 14       38.0
2014 01 31 15       44.0
2014 01 31 16       38.0
2014 01 31 17       40.0
2014 01 31 18       44.0
2014 01 31 19       48.0
2014 01 31 20       46.0
2014 01 31 21       46.0
2014 01 31 22       48.0
2014 01 31 23       48.0
2014 02 01 00       54.0
2014 02 01 01       52.0
2014 02 01 02    -9999.0
2014 02 01 03       31.0
2014 02 01 04       25.0
2014 02 01 05       21.0
2014 02 01 06       21.0
2014 02 01 07       23.0
2014 02 01 08       27.0
2014 02 01 09       31.0
2014 02 01 10       27.0
2014 02 01 11       29.0
2014 02 01 12       33.0
2014 02 01 13       31.0
2014 02 01 14       29.0
2014 02 01 15       31.0
2014 02 01 16       38.0
2014 02 01 17       42.0
2014 02 01 18       44.0
2014 02 01 19       40.0
2014 02 01 20       34.0
2014 02 01 21       31.0
2014 02 01 22       33.0
2014 02 01 23       31.0
2014 02 02 00       31.0
2014 02 02 01       33.0
2014 02 02 02    -9999.0
2014 02 02 03       40.0
2014 02 02 04       40.0
2014 02 02 05       40.0
2014 02 02 06       40.0
2014 02 02 07       36.0
2014 02 02 08       36.0
2014 02 02 09       29.0
2014 02 02 10       25.0
2014 02 02 11       27.0
2014 02 02 12       27.0
2014 02 02 13       27.0
2014 02 02 14       27.0
2014 02 02 15       27.0
2014 02 02 16       29.0
2014 02 02 17       31.0
2014 02 02 18       33.0
2014 02 02 19       25.0
2014 02 02 20       15.0
2014 02 02 21       17.0
2014 02 02 22       25.0
2014 02 02 23       34.0
2014 02 03 00       38.0
2014 02 03 01       31.0
2014 02 03 02    -9999.0
2014 02 03 03       25.0
2014 02 03 04       23.0
2014 02 03 05       23.0
2014 02 03 06       21.0
2014 02 03 07       25.0
2014 02 03 08       31.0
2014 02 03 09       29.0
2014 02 03 10       25.0
2014 02 03 11       25.0
2014 02 03 12       33.0
2014 02 03 13       33.0
2014 02 03 14       33.0
2014 02 03 15       25.0
2014 02 03 16       21.0
2014 02 03 17       19.0
2014 02 03 18       23.0
2014 02 03 19       27.0
2014 02 03 20       44.0
2014 02 03 21       46.0
2014 02 03 22       34.0
2014 02 03 23       27.0
2014 02 04 00       21.0
2014 02 04 01       34.0
2014 02 04 02    -9999.0
2014 02 04 03       29.0
2014 02 04 04       19.0
2014 02 04 05       15.0
2014 02 04 06       13.0
2014 02 04 07       17.0
2014 02 04 08       19.0
2014 02 04 09       27.0
2014 02 04 10       29.0
2014 02 04 11       21.0
2014 02 04 12       15.0
2014 02 04 13       17.0
2014 02 04 14       19.0
2014 02 04 15       21.0
2014 02 04 16       27.0
2014 02 04 17       25.0
2014 02 04 18       31.0
2014 02 04 19       33.0
2014 02 04 20       34.0
2014 02 04 21       36.0
2014 02 04 22       33.0
2014 02 04 23       33.0
2014 02 05 00       33.0
2014 02 05 01       34.0
2014 02 05 02    -9999.0
2014 02 05 03       46.0
2014 02 05 04       42.0
2014 02 05 05       40.0
2014 02 05 06       38.0
2014 02 05 07       36.0
2014 02 05 08       38.0
2014 02 05 09       33.0
2014 02 05 10       29.0
2014 02 05 11       27.0
2014 02 05 12       29.0
2014 02 05 13       25.0
2014 02 05 14       15.0
2014 02 05 15       10.0
2014 02 05 16        8.0
2014 02 05 17       11.0
2014 02 05 18       23.0
2014 02 05 19       21.0
2014 02 05 20       17.0
2014 02 05 21       13.0
2014 02 05 22       10.0
2014 02 05 23        8.0
2014 02 06 00        6.0
2014 02 06 01        4.0
2014 02 06 02    -9999.0
2014 02 06 03        4.0
2014 02 06 04        4.0
2014 02 06 05        4.0
2014 02 06 06        6.0
2014 02 06 07       15.0
2014 02 06 08       31.0
2014 02 06 09       33.0
2014 02 06 10       21.0
2014 02 06 11       13.0
2014 02 06 12       11.0
2014 02 06 13       11.0
2014 02 06 14       13.0
2014 02 06 15       15.0
2014 02 06 16       17.0
2014 02 06 17       23.0
2014 02 06 18       27.0
2014 02 06 19       27.0
2014 02 06 20       25.0
2014 02 06 21       36.0
2014 02 06 22       33.0
2014 02 06 23       33.0
2014 02 07 00       29.0
2014 02 07 01       23.0
2014 02 07 02    -9999.0
2014 02 07 03       17.0
2014 02 07 04       17.0
2014 02 07 05       23.0
2014 02 07 06       21.0
2014 02 07 07       19.0
2014 02 07 08       13.0
2014 02 07 09       13.0
2014 02 07 10       31.0
2014 02 07 11       31.0
2014 02 07 12       33.0
2014 02 07 13       21.0
2014 02 07 14        8.0
2014 02 07 15       10.0
2014 02 07 16       11.0
2014 02 07 17       10.0
2014 02 07 18       10.0
2014 02 07 19       11.0
2014 02 07 20       21.0
2014 02 07 21       10.0
2014 02 07 22        4.0
2014 02 07 23        4.0
2014 02 08 00       11.0
2014 02 08 01       54.0
2014 02 08 02    -9999.0
2014 02 08 03       40.0
2014 02 08 04       33.0
2014 02 08 05       42.0
2014 02 08 06       36.0
2014 02 08 07       38.0
2014 02 08 08       29.0
2014 02 08 09       23.0
2014 02 08 10       34.0
2014 02 08 11       29.0
2014 02 08 12       23.0
2014 02 08 13       21.0
2014 02 08 14       19.0
2014 02 08 15       21.0
2014 02 08 16       23.0
2014 02 08 17       31.0
2014 02 08 18       42.0
2014 02 08 19       36.0
2014 02 08 20       50.0
2014 02 08 21       36.0
2014 02 08 22        6.0
2014 02 08 23        6.0
2014 02 09 00        6.0
2014 02 09 01        4.0
2014 02 09 02    -9999.0
2014 02 09 03        2.0
2014 02 09 04        2.0
2014 02 09 05        2.0
2014 02 09 06        2.0
2014 02 09 07        2.0
2014 02 09 08        2.0
2014 02 09 09       10.0
2014 02 09 10       19.0
2014 02 09 11       17.0
2014 02 09 12       11.0
2014 02 09 13       13.0
2014 02 09 14       11.0
2014 02 09 15       13.0
2014 02 09 16       15.0
2014 02 09 17       19.0
2014 02 09 18       23.0
2014 02 09 19       13.0
2014 02 09 20       15.0
2014 02 09 21        6.0
2014 02 09 22        6.0
2014 02 09 23        8.0
2014 02 10 00       10.0
2014 02 10 01       10.0
2014 02 10 02    -9999.0
2014 02 10 03        6.0
2014 02 10 04        4.0
2014 02 10 05        6.0
2014 02 10 06        6.0
2014 02 10 07       11.0
2014 02 10 08       10.0
2014 02 10 09       10.0
2014 02 10 10        4.0
2014 02 10 11        6.0
2014 02 10 12       10.0
2014 02 10 13       11.0
2014 02 10 14        6.0
2014 02 10 15        6.0
2014 02 10 16        8.0
2014 02 10 17       13.0
2014 02 10 18       13.0
2014 02 10 19       11.0
2014 02 10 20       10.0
2014 02 10 21       11.0
2014 02 10 22       29.0
2014 02 10 23       55.0
2014 02 11 00       33.0
2014 02 11 01       25.0
2014 02 11 02    -9999.0
2014 02 11 03       21.0
2014 02 11 04       13.0
2014 02 11 05       10.0
2014 02 11 06       10.0
2014 02 11 07        8.0
2014 02 11 08       11.0
2014 02 11 09       15.0
2014 02 11 10       13.0
2014 02 11 11       15.0
2014 02 11 12       19.0
2014 02 11 13       21.0
2014 02 11 14       21.0
2014 02 11 15       17.0
2014 02 11 16       17.0
2014 02 11 17       19.0
2014 02 11 18       17.0
2014 02 11 19       15.0
2014 02 11 20       15.0
2014 02 11 21       23.0
2014 02 11 22       25.0
2014 02 11 23       29.0
2014 02 12 00       42.0
2014 02 12 01       40.0
2014 02 12 02    -9999.0
2014 02 12 03       29.0
2014 02 12 04       21.0
2014 02 12 05       17.0
2014 02 12 06       13.0
2014 02 12 07       15.0
2014 02 12 08       25.0
2014 02 12 09       31.0
2014 02 12 10       21.0
2014 02 12 11       15.0
2014 02 12 12       11.0
2014 02 12 13       15.0
2014 02 12 14       13.0
2014 02 12 15       10.0
2014 02 12 16       15.0
2014 02 12 17       15.0
2014 02 12 18       15.0
2014 02 12 19       21.0
2014 02 12 20       34.0
2014 02 12 21       42.0
2014 02 12 22       36.0
2014 02 12 23       48.0
2014 02 13 00       52.0
2014 02 13 01       44.0
2014 02 13 02    -9999.0
2014 02 13 03       33.0
2014 02 13 04       29.0
2014 02 13 05       23.0
2014 02 13 06       17.0
2014 02 13 07       15.0
2014 02 13 08       23.0
2014 02 13 09       23.0
2014 02 13 10       38.0
2014 02 13 11       40.0
2014 02 13 12       25.0
2014 02 13 13       13.0
2014 02 13 14        4.0
2014 02 13 15        6.0
2014 02 13 16       13.0
2014 02 13 17       17.0
2014 02 13 18       15.0
2014 02 13 19       31.0
2014 02 13 20       40.0
2014 02 13 21       31.0
2014 02 13 22       17.0
2014 02 13 23       21.0
2014 02 14 00       33.0
